student_id,minutes_watched,paid_in_q2
1294,1.75,1
1299,111.14,1
1306,137.86,1
1308,777.50,1
1313,1.10,1
1317,1552.84,1
1323,181.50,1
1324,90.70,1
1327,320.94,1
1330,108.10,1
1331,101.38,1
1336,57.90,1
1347,179.58,1
1350,1694.00,1
1353,4768.20,1
1355,697.20,1
1357,856.32,1
1363,1531.54,1
1369,4.95,1
1373,6429.47,1
1374,219.42,1
1375,28.78,1
1379,3143.92,1
1382,34.30,1
1388,174.36,1
1389,66.67,1
1393,0.05,1
1395,267.04,1
1397,2979.00,1
1419,1018.10,1
1424,136.73,1
1426,496.74,1
1428,339.83,1
1434,1690.60,1
1437,318.90,1
1456,3460.35,1
1459,190.44,1
1461,7.80,1
1463,7.25,1
1465,142.35,1
1468,21.86,1
1471,0.05,1
1473,97.74,1
1481,30.05,1
1482,709.34,1
1491,2594.37,1
1494,605.79,1
1498,65.24,1
1500,5749.80,1
1501,850.03,1
1502,0.63,1
1504,1072.95,1
1513,544.60,1
1522,393.90,1
1531,2.70,1
1532,2.22,1
1535,831.20,1
1537,0.26,1
1538,383.14,1
1542,4015.94,1
1544,53.40,1
1550,395.48,1
1553,166.30,1
1561,1100.90,1
1567,1843.10,1
1571,465.60,1
1587,281.76,1
1588,5.68,1
1595,102.67,1
1598,854.10,1
1600,100.65,1
1605,521.70,1
1606,11.16,1
1615,3.43,1
1633,26.30,1
1638,2120.70,1
1644,135.07,1
1649,3.95,1
1651,143.46,1
1652,644.90,1
1653,494.14,1
1658,159.55,1
1667,69.54,1
1669,518.84,1
1678,941.24,1
1680,1.63,1
1683,1078.18,1
1686,0.13,1
1688,1802.93,1
1693,299.90,1
1695,385.35,1
1701,678.78,1
1702,1.10,1
1705,606.20,1
1710,18.63,1
1711,277.30,1
1713,520.98,1
1732,2235.31,1
1733,230.23,1
1737,168.85,1
1739,218.60,1
1745,239.24,1
1759,266.76,1
1765,432.42,1
1773,1661.92,1
1776,1695.52,1
1778,1775.10,1
1784,0.39,1
1790,1340.68,1
1792,89.05,1
1794,376.26,1
1795,279.96,1
1801,6.00,1
1802,0.90,1
1820,104.48,1
1823,1499.22,1
1825,974.84,1
1827,3.20,1
1835,1386.55,1
1841,141.90,1
1849,163.70,1
1852,1763.91,1
1862,2.70,1
1863,236.70,1
1864,909.90,1
1866,2169.36,1
1867,18.21,1
1875,848.48,1
1880,189.96,1
1881,130.05,1
1896,3175.89,1
1897,568.71,1
1898,617.74,1
1900,118.40,1
1902,401.49,1
1908,94.84,1
1909,19.14,1
1911,329.19,1
1914,611.80,1
1917,182.82,1
1918,791.34,1
1932,51.77,1
1935,3.50,1
1938,652.24,1
1939,423.62,1
1945,46.30,1
1947,555.51,1
1950,429.54,1
1957,304.40,1
1959,2075.76,1
1960,552.76,1
1977,4972.75,1
1993,144.38,1
1994,1729.44,1
2003,186.24,1
2010,171.56,1
2018,645.90,1
2019,79.64,1
2022,21.32,1
2026,130.20,1
2051,323.14,1
2054,1562.08,1
2055,213.88,1
2056,55.85,1
2058,1.68,1
2064,232.02,1
2066,2171.96,1
2078,81.04,1
2079,4.47,1
2081,1413.54,1
2084,0.80,1
2091,4517.16,1
2092,2544.15,1
2093,4961.20,1
2099,250.57,1
2104,88.24,1
2106,1.98,1
2108,304.30,1
2112,4475.36,1
2113,174.08,1
2114,1392.66,1
2118,554.62,1
2120,581.67,1
2130,276.15,1
2135,33.66,1
2136,1209.87,1
2149,1812.54,1
2154,223.72,1
2157,8.94,1
2160,51.12,1
2162,114.65,1
2167,3548.40,1
2170,13.20,1
2185,1931.70,1
2187,643.38,1
2188,856.53,1
2190,839.30,1
2195,806.96,1
2207,332.40,1
2213,76.56,1
2217,128.10,1
2218,2010.34,1
2222,10.15,1
2229,8043.98,1
2231,131.42,1
2233,661.26,1
2236,55.11,1
2248,2796.46,1
2255,35.84,1
2256,83.94,1
2258,2155.94,1
2265,90.55,1
2266,162.24,1
2267,92.40,1
2274,1106.34,1
2275,0.75,1
2278,0.67,1
2284,271.86,1
2290,440.94,1
2292,17.00,1
2295,24.16,1
2303,515.16,1
2304,586.05,1
2306,20.45,1
2308,3.40,1
2312,51.25,1
2318,7.16,1
2324,6209.49,1
2332,68.26,1
2335,36.38,1
2338,42.35,1
2339,1093.62,1
2340,150.00,1
2351,56.25,1
2354,1848.67,1
2359,52.16,1
2362,125.08,1
2364,4769.16,1
2375,179.40,1
2377,185.76,1
